Soil_Type,Soil_Moisture,Temperature,Humidity,Crop_Type,Water_Needed_Per_Acre(Litres)
Sandy,11.8,15.2,40.1,Cotton,111877.53
Clay,14.5,31.8,52.1,Sugarcane,105763.15
Sandy,54.8,42.0,74.6,Maize,56655.13
Clay,19.6,19.8,51.7,Wheat,58744.45
Clay,10.0,20.6,37.4,Cotton,96342.28
Clay,57.9,34.4,79.4,Cotton,50963.17
Clay,16.3,35.8,91.8,Soybean,49016.77
Silt,53.1,30.0,35.4,Pulses,44903.42
Silt,67.3,17.2,38.1,Soybean,45825.51
Sandy,27.3,32.0,71.7,Millet,43386.27
Loam,34.8,22.9,62.5,Cotton,77188.43
Silt,10.9,16.7,82.2,Wheat,62826.42
Clay,22.1,42.2,35.7,Soybean,59480.99
Loam,71.0,21.8,33.5,Maize,45194.59
Clay,14.3,17.1,47.2,Cotton,80535.66
Sandy,58.6,32.0,50.3,Rice,111519.14
Clay,19.4,17.2,54.4,Soybean,50294.0
Silt,24.1,19.6,45.1,Barley,58843.08
Silt,22.6,31.6,79.3,Sugarcane,112128.92
Sandy,55.6,42.2,37.3,Sugarcane,116221.94
Sandy,58.1,15.7,54.1,Soybean,56777.81
Loam,35.8,42.5,38.7,Sugarcane,115232.89
Clay,40.7,28.2,65.9,Rice,93837.6
Clay,36.3,22.7,58.2,Barley,51510.17
Sandy,77.5,42.7,50.9,Millet,37420.45
Silt,49.1,21.3,57.6,Cotton,72511.92
Sandy,16.8,35.9,56.7,Millet,58768.03
Loam,27.6,16.5,64.3,Pulses,50905.15
Loam,71.4,18.1,39.8,Barley,46312.72
Loam,51.2,35.2,45.3,Sugarcane,100744.78
Clay,35.5,43.8,44.9,Rice,102360.27
Loam,60.8,22.5,57.0,Sugarcane,81842.03
Clay,35.4,37.8,51.9,Maize,50448.55
Loam,29.1,18.8,53.4,Maize,61667.43
Clay,77.3,37.5,91.9,Rice,68214.77
Silt,34.4,36.8,77.1,Sugarcane,90632.38
Loam,54.9,28.6,94.9,Maize,58180.24
Clay,59.2,17.3,56.1,Wheat,39857.58
Loam,29.2,15.1,56.7,Cotton,77983.46
Sandy,37.8,25.6,75.8,Soybean,61475.26
Silt,69.7,23.4,91.5,Barley,36646.26
Sandy,47.5,42.1,61.0,Maize,74133.88
Loam,58.2,35.3,31.5,Rice,88335.21
Silt,31.9,24.1,65.5,Groundnut,51942.14
Loam,49.1,19.3,47.1,Rice,98764.54
Clay,46.9,32.9,68.7,Maize,45847.99
Silt,42.7,28.0,84.5,Groundnut,41764.49
Clay,65.2,19.6,45.1,Cotton,65879.71
Loam,43.9,44.8,59.1,Millet,36765.62
Clay,43.5,30.0,56.2,Millet,31051.31
Silt,40.7,30.0,41.8,Pulses,47561.18
Sandy,47.7,38.3,70.5,Millet,39608.06
Silt,12.7,16.7,41.0,Cotton,81857.76
Loam,35.0,34.3,33.6,Pulses,45726.13
Sandy,42.6,38.5,66.7,Groundnut,54212.57
Loam,24.6,34.8,40.7,Groundnut,56121.58
Sandy,12.3,28.1,36.3,Groundnut,61415.03
Silt,22.9,24.6,68.3,Sugarcane,116364.76
Silt,57.3,15.5,43.2,Barley,44390.47
Silt,52.5,20.9,71.6,Groundnut,45756.07
Loam,35.2,44.9,55.3,Pulses,44725.01
Loam,61.3,22.9,88.0,Barley,39934.85
Sandy,71.6,22.3,71.2,Sugarcane,90400.01
Sandy,79.2,21.8,78.1,Pulses,31759.06
Clay,21.9,20.5,93.2,Maize,57471.28
Loam,58.4,28.4,62.1,Groundnut,44966.67
Clay,56.6,34.7,73.3,Groundnut,32493.87
Silt,70.3,34.3,78.9,Sugarcane,84685.39
Silt,54.9,28.8,40.7,Pulses,39167.81
Clay,20.6,29.4,61.6,Sugarcane,107394.56
Sandy,70.9,18.4,63.6,Rice,100846.31
Loam,29.5,26.1,75.0,Groundnut,53998.88
Silt,21.7,31.1,70.3,Sugarcane,119371.91
Loam,78.3,16.9,57.1,Barley,37388.57
Sandy,30.2,19.7,74.3,Sugarcane,114310.09
Clay,12.2,34.1,72.1,Cotton,84560.91
Clay,67.8,26.6,71.6,Wheat,37813.44
Loam,67.2,42.6,85.4,Wheat,42270.17
Sandy,63.5,26.5,42.7,Soybean,56515.81
Sandy,29.3,26.7,58.8,Soybean,72301.49
Silt,59.4,17.9,33.5,Pulses,40589.15
Loam,45.8,38.1,84.3,Wheat,53032.12
Silt,79.5,43.8,68.0,Soybean,48792.08
Sandy,43.3,26.2,39.5,Soybean,77463.73
Clay,48.7,40.7,78.7,Sugarcane,81970.18
Loam,65.8,30.7,61.2,Sugarcane,69793.01
Loam,10.3,24.1,81.6,Pulses,53302.63
Sandy,34.8,25.3,91.4,Cotton,74284.89
Sandy,54.5,15.4,60.0,Soybean,63417.3
Clay,22.6,36.3,64.2,Soybean,60643.75
Silt,17.2,26.3,43.5,Millet,52791.4
Loam,37.0,43.7,50.9,Cotton,75529.3
Silt,47.0,17.0,55.8,Pulses,39080.6
Sandy,48.4,28.7,49.6,Maize,59163.29
Clay,31.9,17.5,57.7,Wheat,53675.07
Loam,35.5,29.6,82.3,Soybean,48199.04
Silt,76.6,38.1,31.6,Pulses,36227.66
Clay,64.4,19.9,86.0,Soybean,46958.78
Clay,18.1,37.9,47.3,Maize,62527.63
Loam,67.5,39.7,80.4,Rice,73370.65
Loam,52.6,29.0,48.9,Rice,93770.45
Silt,63.7,22.0,76.7,Millet,37834.1
Loam,65.9,19.7,31.4,Cotton,71194.77
Sandy,62.1,20.6,64.9,Soybean,50847.87
Loam,62.4,24.7,31.0,Groundnut,40105.87
Silt,16.4,39.0,61.6,Groundnut,51374.74
Silt,30.6,25.1,33.2,Rice,141458.99
Sandy,39.0,34.6,46.3,Wheat,58161.08
Silt,52.2,33.6,61.2,Sugarcane,88611.23
Loam,55.2,15.0,58.2,Sugarcane,81627.38
Silt,51.7,37.0,36.9,Groundnut,48336.66
Silt,35.1,27.1,84.1,Sugarcane,84505.74
Clay,59.6,36.9,70.6,Sugarcane,67029.61
Loam,60.9,41.2,36.1,Barley,40077.06
Clay,30.1,27.2,59.1,Pulses,45746.25
Sandy,24.5,30.6,47.3,Barley,71131.93
Clay,13.7,34.4,55.0,Rice,110888.43
Silt,51.0,40.7,46.3,Wheat,60132.02
Sandy,17.2,43.4,33.9,Millet,48755.76
Loam,65.9,15.3,49.1,Barley,39050.72
Clay,49.6,25.0,49.3,Soybean,46230.58
Clay,59.1,22.1,77.7,Groundnut,40428.6
Sandy,27.5,28.8,74.7,Barley,52947.3
Clay,56.2,32.2,78.8,Sugarcane,67899.33
Sandy,77.1,42.7,76.4,Pulses,34398.26
Loam,38.5,15.6,50.3,Soybean,58949.92
Sandy,72.7,16.6,64.7,Maize,61658.4
Silt,42.0,16.9,48.5,Millet,41144.19
Loam,49.4,28.9,58.1,Maize,58558.2
Clay,49.4,23.2,71.0,Soybean,48909.05
Clay,40.7,24.3,44.7,Groundnut,41708.67
Sandy,13.4,32.7,60.6,Soybean,76495.21
Clay,20.4,41.0,51.9,Millet,35218.07
Silt,49.3,39.5,70.2,Groundnut,47716.63
Silt,75.4,20.3,41.2,Soybean,55905.59
Clay,62.1,27.4,54.6,Millet,30970.46
Sandy,30.7,36.9,50.3,Barley,57719.49
Clay,56.7,39.0,31.4,Soybean,56095.68
Silt,65.5,16.1,37.9,Groundnut,44673.38
Clay,68.6,27.9,82.4,Wheat,37065.12
Loam,23.4,36.9,42.2,Rice,108816.29
Sandy,72.8,25.5,93.1,Pulses,34381.4
Clay,30.5,31.9,86.2,Millet,39522.77
Loam,68.6,30.9,55.8,Groundnut,41488.41
Loam,12.9,16.5,76.7,Cotton,90403.21
Sandy,39.5,33.2,85.0,Cotton,69994.94
Silt,73.4,35.8,69.6,Rice,94525.69
Clay,44.0,28.1,31.5,Millet,33598.94
Sandy,78.2,34.5,91.4,Wheat,45199.64
Clay,62.2,15.1,77.0,Soybean,39431.33
Sandy,40.7,34.7,64.8,Pulses,52180.34
Clay,24.5,26.2,89.1,Soybean,47783.28
Silt,74.9,37.0,36.2,Groundnut,43481.6
Clay,66.2,27.3,82.5,Millet,26093.91
Clay,12.8,40.2,47.9,Maize,76102.36
Loam,19.1,16.4,67.5,Millet,39373.01
Silt,39.1,33.0,58.4,Sugarcane,89422.02
Silt,56.9,17.7,59.0,Soybean,60539.06
Silt,38.1,24.9,76.6,Barley,53425.87
Silt,53.1,20.7,77.7,Sugarcane,98500.55
Sandy,73.7,25.9,41.6,Wheat,56441.76
Sandy,44.6,43.4,57.5,Maize,61603.13
Silt,41.7,38.4,88.1,Barley,50171.63
Loam,75.9,35.8,64.8,Cotton,56038.89
Loam,51.6,42.9,34.6,Sugarcane,92057.21
Sandy,67.4,17.1,91.0,Rice,85889.13
Loam,48.9,40.3,58.8,Cotton,73145.9
Sandy,79.6,44.2,63.4,Barley,43600.3
Clay,74.2,36.6,59.9,Wheat,40096.87
Sandy,25.9,38.6,40.4,Barley,65906.01
Clay,60.0,44.8,33.0,Millet,36654.22
Clay,16.8,31.2,48.1,Groundnut,54934.57
Silt,56.4,31.1,50.1,Barley,45147.61
Sandy,56.8,24.6,63.0,Groundnut,43462.61
Loam,47.0,16.8,47.0,Soybean,53913.43
Silt,58.7,20.3,74.5,Wheat,45114.31
Clay,29.4,21.8,47.6,Soybean,56801.96
Silt,31.1,37.8,49.9,Cotton,88336.81
Clay,42.4,37.7,67.5,Cotton,57052.33
Silt,57.1,34.9,83.4,Wheat,50118.31
Silt,68.0,38.5,79.5,Groundnut,39110.14
Silt,39.5,42.9,65.2,Pulses,46399.8
Silt,10.7,15.9,63.4,Wheat,59389.23
Sandy,71.0,27.1,37.7,Sugarcane,99906.6
Loam,32.0,33.6,92.6,Wheat,55520.86
Loam,32.8,23.3,66.5,Rice,108069.24
Clay,67.3,44.6,69.2,Rice,79717.37
Sandy,48.3,17.5,49.5,Rice,130480.6
Clay,71.5,30.3,69.8,Cotton,55087.12
Sandy,61.5,20.6,79.0,Rice,92459.99
Sandy,23.3,29.0,71.3,Sugarcane,121101.46
Sandy,67.8,29.3,68.7,Pulses,39724.43
Silt,66.4,19.7,78.5,Wheat,48771.32
Silt,36.0,30.7,48.9,Pulses,50594.02
Clay,59.4,18.4,91.0,Barley,40215.03
Loam,60.0,27.2,32.3,Sugarcane,78123.07
Silt,54.7,16.8,45.3,Pulses,47587.61
Loam,35.8,19.6,92.5,Maize,54628.12
Sandy,18.4,19.8,79.8,Soybean,66675.63
Clay,31.1,25.8,68.0,Sugarcane,80571.7
Silt,44.6,32.4,48.5,Maize,64979.98
Silt,66.0,28.6,39.7,Rice,96482.26
Sandy,32.7,40.1,55.8,Pulses,61038.37
Silt,17.2,41.7,46.7,Soybean,78065.13
Clay,17.9,15.5,66.9,Barley,54604.58
Clay,42.7,18.8,35.0,Groundnut,38598.31
Sandy,22.2,37.6,72.4,Barley,70229.37
Clay,71.6,27.6,60.5,Groundnut,33145.25
Sandy,38.0,45.0,30.6,Sugarcane,126020.14
Sandy,36.6,34.2,90.4,Wheat,59508.39
Loam,63.8,43.0,64.3,Millet,32454.88
Silt,53.3,21.5,45.1,Millet,40098.48
Loam,35.7,43.7,86.5,Rice,104144.84
Sandy,16.9,18.3,94.5,Rice,141704.01
Sandy,60.4,27.4,70.4,Groundnut,47935.39
Silt,76.1,38.4,88.7,Wheat,44748.34
Loam,48.9,38.0,70.3,Groundnut,38257.21
Silt,63.0,34.3,45.7,Maize,57048.09
Sandy,39.8,15.1,83.3,Sugarcane,96731.95
Loam,21.0,30.4,79.1,Rice,97417.48
Loam,36.5,43.7,85.7,Sugarcane,83143.78
Loam,19.2,25.1,45.8,Barley,57026.83
Sandy,22.1,31.7,36.6,Millet,47865.71
Clay,26.2,21.0,43.8,Groundnut,45722.66
Sandy,22.6,15.3,56.5,Cotton,104626.73
Sandy,52.4,44.9,69.6,Wheat,52105.65
Silt,20.6,18.4,47.6,Pulses,54984.57
Loam,71.7,17.7,37.0,Cotton,59632.67
Clay,18.0,31.0,81.8,Millet,44265.76
Sandy,74.1,15.2,33.9,Maize,65760.57
Sandy,75.6,28.4,38.7,Cotton,73627.91
Loam,69.7,38.9,82.7,Maize,46262.43
Sandy,78.3,16.8,54.8,Wheat,46445.77
Loam,52.1,32.3,34.1,Soybean,50282.08
Silt,66.5,39.8,47.8,Barley,45889.6
Clay,41.2,26.5,35.8,Barley,47682.2
Loam,42.1,22.9,74.4,Cotton,65518.2
Clay,53.1,24.6,37.1,Cotton,73414.32
Sandy,75.0,33.1,84.2,Barley,42546.11
Sandy,74.9,31.4,71.9,Millet,33800.38
Loam,32.1,16.3,33.8,Rice,113585.61
Loam,35.9,38.2,51.0,Barley,46293.06
Loam,36.1,43.8,52.5,Wheat,49740.85
Loam,66.3,27.3,60.1,Millet,34728.86
Clay,15.1,37.5,41.6,Millet,46394.59
Loam,49.3,41.4,92.4,Groundnut,43673.23
Clay,28.1,39.8,68.6,Soybean,48113.27
Silt,39.9,28.7,38.4,Maize,60186.22
Sandy,43.8,28.3,40.4,Sugarcane,114142.83
Clay,70.0,23.1,85.8,Barley,39491.5
Clay,38.7,32.6,51.4,Rice,90704.53
Silt,67.7,15.0,94.4,Cotton,66792.75
Clay,14.4,18.3,75.0,Maize,69515.52
Silt,50.9,26.1,42.8,Groundnut,51112.28
Silt,73.8,34.8,85.6,Barley,43139.46
Clay,66.4,42.8,72.7,Cotton,59836.63
Sandy,17.8,45.0,71.4,Groundnut,62179.29
Sandy,34.3,25.1,86.3,Sugarcane,95130.1
Clay,74.2,27.1,75.3,Barley,31813.24
Sandy,23.9,22.9,73.2,Wheat,62018.82
Loam,13.7,38.9,46.6,Maize,68726.34
Sandy,60.3,42.3,83.5,Maize,58902.08
Silt,19.0,18.4,81.3,Wheat,56433.63
Loam,62.1,37.8,60.2,Maize,56555.69
Silt,42.4,37.2,78.0,Groundnut,43658.59
Clay,78.2,35.6,62.0,Pulses,28181.36
Silt,73.0,29.1,74.0,Pulses,37412.14
Silt,58.8,29.0,53.0,Wheat,47771.21
Sandy,35.8,36.5,47.0,Cotton,104216.4
Sandy,48.0,36.3,63.9,Rice,101719.54
Silt,70.2,18.7,92.3,Groundnut,33011.91
Silt,16.5,38.2,54.4,Millet,52016.43
Silt,21.9,29.1,59.0,Groundnut,63041.09
Loam,34.5,34.4,86.8,Barley,48633.13
Sandy,44.5,22.3,45.3,Groundnut,58077.18
Clay,78.4,36.3,80.8,Soybean,39500.89
Silt,50.0,29.4,86.6,Maize,50613.8
Clay,66.8,43.7,49.4,Cotton,52253.62
Silt,74.0,33.3,60.7,Soybean,51446.89
Clay,72.3,37.4,51.6,Groundnut,31800.74
Silt,37.5,34.2,94.7,Soybean,56986.21
Loam,37.3,25.9,67.1,Wheat,49267.03
Clay,63.3,17.9,30.1,Barley,44549.42
Silt,73.0,20.8,87.4,Pulses,34670.85
Clay,34.0,16.7,32.0,Soybean,63056.56
Sandy,77.8,25.7,42.2,Groundnut,40700.71
Clay,75.2,42.9,74.9,Rice,62402.69
Silt,41.3,30.0,53.1,Groundnut,49112.98
Clay,53.6,22.7,84.4,Barley,35469.01
Loam,38.7,42.0,59.8,Barley,48404.78
Loam,79.0,15.7,71.4,Sugarcane,72843.64
Loam,44.8,39.2,75.8,Groundnut,42616.94
Loam,55.1,18.8,61.4,Soybean,55078.73
Sandy,30.4,27.4,30.8,Wheat,66657.66
Silt,28.8,15.2,44.2,Groundnut,48986.33
Silt,80.0,17.4,47.8,Wheat,42141.91
Loam,43.3,23.4,81.1,Soybean,52962.15
Silt,74.7,29.1,47.2,Sugarcane,70244.73
Loam,28.7,20.1,63.2,Wheat,58518.33
Loam,59.7,34.9,76.5,Pulses,34189.0
Loam,45.1,17.8,87.7,Maize,62069.37
Silt,40.2,34.4,94.1,Sugarcane,84652.95
Sandy,43.8,36.9,89.2,Maize,60179.31
Silt,46.6,36.1,63.3,Rice,91990.02
Sandy,43.1,26.5,41.6,Rice,135204.83
Loam,66.6,43.1,62.8,Rice,96146.58
Loam,39.5,28.4,43.4,Pulses,40304.75
Loam,70.2,42.8,35.0,Sugarcane,91012.88
Sandy,32.4,32.3,38.0,Maize,68618.23
Silt,58.0,18.6,85.0,Millet,31994.47
Loam,48.7,36.6,61.2,Pulses,42559.8
Silt,17.8,31.0,87.3,Sugarcane,99192.27
Loam,11.7,40.2,69.6,Pulses,51386.27
Loam,61.8,29.4,52.2,Wheat,46491.55
Sandy,70.5,36.4,76.3,Rice,84178.29
Sandy,64.2,34.9,90.8,Wheat,50625.34
Sandy,23.8,34.3,43.1,Cotton,98717.2
Sandy,58.4,41.3,82.4,Cotton,74437.16
Sandy,37.3,35.7,77.4,Soybean,57711.83
Clay,47.5,30.3,55.3,Sugarcane,80216.18
Loam,12.0,15.5,41.6,Sugarcane,109388.5
Sandy,73.4,43.0,34.4,Pulses,37231.16
Clay,22.2,34.5,89.0,Barley,53732.32
Sandy,26.6,19.9,93.1,Pulses,50872.04
Silt,25.1,39.4,46.1,Sugarcane,126339.74
Sandy,48.9,20.0,43.0,Rice,124818.8
Sandy,67.0,32.2,82.4,Cotton,74112.29
Loam,35.8,15.7,42.8,Sugarcane,94824.28
Sandy,52.1,19.3,87.4,Wheat,46736.5
Clay,50.0,15.9,89.7,Rice,75520.91
Loam,77.5,36.4,40.0,Millet,35942.56
Sandy,46.6,27.2,59.7,Pulses,44703.16
Sandy,54.3,44.5,77.1,Wheat,45419.8
Clay,77.3,23.8,39.3,Pulses,34623.33
Loam,28.3,27.6,68.4,Wheat,62030.56
Sandy,69.6,20.0,58.1,Wheat,48221.97
Sandy,77.8,30.7,43.3,Sugarcane,99390.05
Clay,73.9,19.2,82.8,Millet,28942.09
Clay,18.4,41.9,94.9,Millet,35231.7
Silt,31.4,25.9,50.6,Pulses,51720.58
Loam,41.0,30.7,64.6,Barley,52963.34
Silt,41.4,23.0,46.6,Millet,45257.64
Silt,33.1,34.6,89.4,Groundnut,44428.34
Sandy,22.8,39.7,41.6,Cotton,88956.27
Loam,79.0,39.6,38.6,Sugarcane,70809.1
Silt,41.2,39.1,92.8,Sugarcane,87140.7
Clay,62.3,17.7,53.5,Groundnut,38391.92
Loam,65.4,18.3,34.4,Groundnut,39895.06
Loam,44.3,25.2,52.8,Barley,54217.35
Sandy,24.2,16.0,34.9,Cotton,100587.54
Loam,16.3,25.6,81.4,Cotton,93319.53
Clay,37.6,35.4,42.3,Rice,105822.73
Silt,30.7,40.4,80.7,Wheat,63460.11
Silt,41.7,30.4,74.1,Pulses,43045.66
Clay,30.4,29.2,34.6,Sugarcane,106184.46
Silt,65.8,26.7,56.9,Pulses,35761.25
Loam,34.2,22.4,63.9,Sugarcane,113332.67
Loam,35.2,37.2,48.8,Cotton,80531.17
Loam,65.8,43.9,58.6,Barley,46313.12
Loam,13.5,19.6,80.6,Soybean,72201.39
Silt,70.4,17.7,82.8,Barley,36062.72
Clay,68.1,22.6,81.6,Sugarcane,69072.42
Loam,40.6,25.8,83.1,Cotton,65615.76
Loam,43.2,20.4,52.9,Rice,95600.21
Silt,60.5,24.4,32.3,Sugarcane,91019.67
Silt,31.8,33.8,31.4,Groundnut,51808.8
Loam,21.0,19.4,57.3,Wheat,61755.62
Sandy,74.7,26.2,93.2,Millet,37155.79
Loam,51.1,31.3,87.6,Groundnut,37719.37
Loam,19.3,41.2,32.0,Millet,51080.14
Sandy,33.9,27.4,52.4,Pulses,51626.78
Sandy,71.0,18.5,66.5,Millet,39790.55
Loam,35.0,34.0,37.0,Maize,72517.93
Silt,70.3,21.9,68.9,Groundnut,45745.2
Loam,31.6,30.9,89.2,Millet,39596.27
Silt,65.4,35.6,78.7,Groundnut,44273.69
Clay,27.2,37.0,50.8,Maize,59697.72
Sandy,64.5,28.7,70.9,Groundnut,48718.56
Silt,55.3,22.6,93.9,Millet,31676.79
Loam,30.5,21.2,68.8,Rice,123871.74
Clay,77.3,15.4,93.0,Sugarcane,69514.41
Clay,21.7,28.7,89.4,Soybean,46182.63
Loam,57.8,16.9,64.8,Cotton,70264.49
Silt,15.8,22.4,77.5,Wheat,64139.4
Sandy,40.8,34.9,67.9,Barley,65468.58
Loam,27.8,42.9,56.8,Rice,103606.39
Clay,20.1,28.8,89.5,Millet,40397.01
Sandy,63.4,20.6,33.6,Rice,116890.68
Loam,26.2,39.4,66.0,Rice,119149.35
Clay,67.0,33.3,55.4,Barley,44320.03
Clay,39.5,39.0,82.0,Soybean,49603.89
Silt,42.9,40.2,78.1,Sugarcane,107311.53
Loam,71.5,27.2,88.8,Maize,49363.61
Sandy,73.8,15.0,83.4,Maize,55796.96
Loam,46.3,34.5,80.4,Cotton,65731.47
Loam,70.1,35.9,32.9,Soybean,44705.82
Sandy,76.3,38.9,75.0,Pulses,40032.61
Loam,42.5,25.5,85.4,Millet,34578.28
Silt,65.9,25.8,35.8,Cotton,71853.99
Clay,32.7,22.9,62.4,Millet,38618.95
Sandy,77.8,29.1,80.4,Soybean,42787.86
Clay,17.1,32.9,79.4,Millet,37238.1
Sandy,19.0,21.1,66.1,Millet,51533.49
Sandy,22.7,36.2,52.7,Millet,54945.94
Silt,74.8,27.7,51.3,Wheat,38500.63
Silt,20.1,30.8,69.1,Cotton,92025.76
Silt,29.7,26.8,76.6,Millet,42685.68
Sandy,70.7,39.9,37.5,Wheat,45975.22
Loam,11.5,17.4,56.3,Soybean,74951.74
Clay,40.7,39.7,34.2,Maize,66087.4
Loam,74.7,18.0,88.5,Groundnut,40634.46
Silt,39.6,33.2,46.7,Pulses,47181.84
Loam,34.1,34.1,91.2,Rice,89896.44
Silt,12.5,44.2,59.7,Pulses,50720.0
Silt,62.4,40.1,51.8,Groundnut,48345.08
Sandy,58.0,16.1,36.7,Cotton,78925.75
Clay,64.4,19.7,55.3,Sugarcane,82899.11
Silt,44.7,25.2,75.8,Cotton,80837.64
Silt,42.1,25.7,42.0,Cotton,89005.04
Loam,21.0,35.7,74.9,Groundnut,56146.15
Loam,71.0,36.2,39.7,Maize,45998.96
Loam,22.4,25.3,76.5,Wheat,56871.48
Silt,45.8,22.8,78.9,Groundnut,44706.44
Silt,44.7,26.0,48.0,Maize,65183.73
Clay,48.1,17.2,87.8,Soybean,44013.7
Silt,34.8,30.0,68.9,Maize,72931.37
Clay,17.6,36.8,60.8,Sugarcane,95066.51
Loam,74.9,44.2,67.7,Wheat,44961.49
Sandy,75.2,30.2,90.5,Sugarcane,91252.68
Loam,65.5,42.6,77.9,Maize,43637.44
Silt,19.7,15.0,68.1,Sugarcane,127153.24
Sandy,58.8,38.0,37.8,Pulses,40439.97
Silt,29.9,31.7,72.8,Wheat,65175.98
Loam,71.8,28.4,58.8,Wheat,36879.77
Silt,69.7,28.9,32.7,Barley,43237.09
Silt,41.6,25.1,68.1,Pulses,39667.86
Silt,36.9,20.6,76.8,Soybean,54301.14
Loam,20.7,35.7,56.1,Barley,52799.27
